series_id,indicator_id,bps_var_id,period_label,period_id,semantic_result_sha256,selected_turvar_id,denominator_turvar_ids,transform,canonical_unit,claim_type,frequency,time_start,time_end,expected_geography_count,methodology_version,source_universe,price_basis,qualification_notes
m4_elderly_2025,elderly_population_share,884,2025,125,816aab68c7ceaba1fdda10644c2d5570a5a0d5c3e64e516ae37edf1e5da74098,0,,identity,percent,observed,census_or_survey,2025-01-01,2025-12-31,19,supas2025_elderly_share,Population classified as elderly under the SUPAS definition,,Preserve the official source age threshold and survey methodology
m4_pmdn_2024,domestic_investment_realization,727,2024,124,bf7354516eb775fd7cdf8cb8cac03aa3b825313a8dd372b6cfb7511bb945e3fe,1175,,identity,million_rupiah,observed,annual,2024-01-01,2024-12-31,19,bps_pmdn_additional_investment,Realized PMDN projects under the official investment reporting system,nominal_2024,Selects Tambahan Investasi rather than project or employment counts
m4_pma_2024,foreign_investment_realization,729,2024,124,20879c11cc518be75af84493c45ffe6d1448aec6a0eb515ceb8e4b44ac48c76b,1179,,identity,million_rupiah,observed,annual,2024-01-01,2024-12-31,19,bps_pma_additional_investment,Realized PMA projects under the official investment reporting system,nominal_2024,Selects Tambahan Investasi rather than project or employment counts
m4_expenditure_2024,household_expenditure_per_capita_monthly,492,2024,124,dc518d68ff55e4a4bc287059791563bf94d86900221a6d809e5ab6185459e4bd,880,,identity,rupiah_per_person_month,observed,annual_or_survey,2024-01-01,2024-12-31,19,susenas_total_monthly_expenditure,Persons represented by the Susenas household expenditure aggregate,nominal_2024,Selects total food plus non-food expenditure turvar 880
m4_food_inadequacy_2024,food_inadequacy_prevalence,760,2024,124,ec083fcc2a0b7990e8bb9af3f4628b584e4e9d69f73a59eb87850d4cbd2361b2,0,,identity,percent,observed,annual,2024-01-01,2024-12-31,19,bps_food_inadequacy,Population under the official food-inadequacy estimation methodology,,Retain source methodology and do not reinterpret as observed calorie intake for individuals
m4_labor_force_2025,labor_force_count,473,2025,125,b0afdce0db6fc2e2f46ff16de9d08b18142c8a02b557f000ccd752b48a0d4226,844,,identity,persons,observed,annual,2025-08-01,2025-08-31,19,sakernas_august_labor_force,Population age 15+ in the labor force,,Source note explicitly identifies Sakernas August
m4_employed_2025,employed_population,473,2025,125,b0afdce0db6fc2e2f46ff16de9d08b18142c8a02b557f000ccd752b48a0d4226,842,,identity,persons,observed,annual,2025-08-01,2025-08-31,19,sakernas_august_employed,Population age 15+ classified as employed,,Source note explicitly identifies Sakernas August
m4_unemployed_2025,unemployed_population,473,2025,125,b0afdce0db6fc2e2f46ff16de9d08b18142c8a02b557f000ccd752b48a0d4226,843,,identity,persons,observed,annual,2025-08-01,2025-08-31,19,sakernas_august_unemployed,Population age 15+ classified as openly unemployed,,Source note explicitly identifies Sakernas August
m4_provincial_road_length_2024,provincial_road_length,555,2024,124,7a7c5363e805e6a82c5b4b8cb19b1eceba19a11c027561b1a22f77093f0cee00,,908|909|910|911,sum_turvar_ids,kilometres,derived,annual,2024-01-01,2024-12-31,19,bps_provincial_road_condition,Provincial-authority roads represented by four condition categories,,Sum of good medium damaged and heavily damaged provincial-road lengths
m4_large_medium_industry_employment_2022,large_medium_industry_employment,773,2022,122,a84bfb460e17ab965b2208c8b04918937317317645cc4dbe23a72065a05bfc12,1241,,identity,persons,observed,annual,2022-01-01,2022-12-31,18,bps_annual_large_medium_industry_survey,Workers in large and medium industrial establishments,,Kepulauan Mentawai 1301 is absent from the source table and remains missing rather than being imputed as zero
