year,quarter,quarter_number,dataset_identifier,description_period_match,lkpm_source_identity_match,period_field_semantics_match,rupiah_increment_semantics_match,usd_increment_semantics_match,update_frequency_quarterly_match,collection_frequency_quarterly_match,semantic_family_state,target_investment_values_inspected,annual_sum_authorized
2013,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2013-DJF0bWL,true,true,true,true,true,true,true,semantic_family_match,false,false
2013,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2013-RCKorNx,true,true,true,true,true,true,true,semantic_family_match,false,false
2013,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2013-7gIf8tt,true,true,true,true,true,true,true,semantic_family_match,false,false
2014,I,1,Data-realisasi-investasi-triwulan-i-tahun-2014-8TD5MiR,true,true,true,true,true,true,true,semantic_family_match,false,false
2014,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2014-nOXDyc9,true,true,true,true,true,true,true,semantic_family_match,false,false
2014,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2014-hc9iIYD,true,true,true,true,true,true,true,semantic_family_match,false,false
2014,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2014-aiH3N07,true,true,true,true,true,true,true,semantic_family_match,false,false
2015,I,1,Data-realisasi-investasi-triwulan-i-tahun-2015-Q1DkhJz,true,true,true,true,true,true,true,semantic_family_match,false,false
2015,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2015-btjb2ta,true,true,true,true,true,true,true,semantic_family_match,false,false
2015,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2015-Xe6Djkq,true,true,true,true,true,true,true,semantic_family_match,false,false
2015,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2015-sonjzmO,true,true,true,true,true,true,true,semantic_family_match,false,false
2016,I,1,Data-realisasi-investasi-triwulan-i-tahun-2016-iGR4Qiq,true,true,true,true,true,true,true,semantic_family_match,false,false
2016,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2016-9viQ5TO,true,true,true,true,true,true,true,semantic_family_match,false,false
2016,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2016-1ECr7jF,true,true,true,true,true,true,true,semantic_family_match,false,false
2016,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2016-jwmY1RM,true,true,true,true,true,true,true,semantic_family_match,false,false
2017,I,1,Data-realisasi-investasi-triwulan-i-tahun-2017-LzO8DHT,true,true,true,true,true,true,true,semantic_family_match,false,false
2017,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2017-ZrFL97N,true,true,true,true,true,true,true,semantic_family_match,false,false
2017,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2017-8p2TRIL,true,true,true,true,true,true,true,semantic_family_match,false,false
2017,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2017-KO8lKPd,true,true,true,true,true,true,true,semantic_family_match,false,false
2018,I,1,Data-realisasi-investasi-triwulan-i-tahun-2018-3gA3OjM,true,true,true,true,true,true,true,semantic_family_match,false,false
2018,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2018-0iq9kfq,true,true,true,true,true,true,true,semantic_family_match,false,false
2018,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2018-Q2PSQlc,true,true,true,true,true,true,true,semantic_family_match,false,false
2018,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2018-F9M7bk9,true,true,true,true,true,true,true,semantic_family_match,false,false
2019,I,1,Data-realisasi-investasi-triwulan-i-tahun-2019-D9863Al,true,true,true,true,true,true,true,semantic_family_match,false,false
2019,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2019-pcqR17c,true,true,true,true,true,true,true,semantic_family_match,false,false
2019,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2019-IH9wFIE,true,true,true,true,true,true,true,semantic_family_match,false,false
2019,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2019-X5Sqrn9,true,true,true,true,true,true,true,semantic_family_match,false,false
2020,I,1,Data-realisasi-investasi-triwulan-i-tahun-2020-AOB4ZBB,true,true,true,true,true,true,true,semantic_family_match,false,false
2020,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2020-2D2ROx9,true,true,true,true,true,true,true,semantic_family_match,false,false
2020,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2020-8i2qwNr,true,true,true,true,true,true,true,semantic_family_match,false,false
2020,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2020-v3HNqaX,true,true,true,true,true,true,true,semantic_family_match,false,false
2021,I,1,Data-realisasi-investasi-triwulan-i-tahun-2021-KtsYXpM,true,true,true,true,true,true,true,semantic_family_match,false,false
2021,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2021-WnE2Dzx,true,true,true,true,true,true,true,semantic_family_match,false,false
2021,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2021-kd1FbXw,true,true,true,true,true,true,true,semantic_family_match,false,false
2021,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2021-7ZQkG68,true,true,true,true,true,true,true,semantic_family_match,false,false
2022,I,1,Data-realisasi-investasi-triwulan-i-tahun-2022-wRMSb3X,true,true,true,true,true,true,true,semantic_family_match,false,false
2022,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2022,true,true,true,true,true,true,true,semantic_family_match,false,false
2022,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2022,true,true,true,true,true,true,true,semantic_family_match,false,false
2022,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2022-n28Sqxg,true,true,true,true,true,true,true,semantic_family_match,false,false
2023,I,1,Data-realisasi-investasi-triwulan-i-tahun-2023-6pOYjbx,true,true,true,true,true,true,true,semantic_family_match,false,false
2023,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2023,true,true,true,true,true,true,true,semantic_family_match,false,false
2023,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2023,true,true,true,true,true,true,true,semantic_family_match,false,false
2023,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2023-EggwcsQ,true,true,true,true,true,true,true,semantic_family_match,false,false
2024,I,1,Data-realisasi-investasi-triwulan-i-tahun-2024,true,true,true,true,true,true,true,semantic_family_match,false,false
2024,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2024-UVTkOaI,true,true,true,true,true,true,true,semantic_family_match,false,false
2024,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2024-oXA2V00,true,true,true,true,true,true,true,semantic_family_match,false,false
2024,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2024-nKo1EyF,true,true,true,true,true,true,true,semantic_family_match,false,false
2025,I,1,Data-realisasi-investasi-triwulan-i-tahun-2025-X4LGYJf,true,true,true,true,true,true,true,semantic_family_match,false,false
2025,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2025,false,true,true,true,true,true,true,held_semantic_evidence_incomplete,false,false
2025,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2025-hXdFHZK,true,true,true,true,true,true,true,semantic_family_match,false,false
2025,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2025-szexEQe,true,true,true,true,true,true,true,semantic_family_match,false,false
